movie_id,title,overview,poster_path,rating,genres
1353117,Home Sweet Home: Rebirth,"When a city is overrun with a demonically-possessed crowd, a cop must find the source of evil to save his family.",https://image.tmdb.org/t/p/w500//9rCBCm9cyI4JfLEhx3EncyncMR3.jpg,6.557,"Horror, Fantasy, Thriller, Mystery, Action"
1252309,Ask Me What You Want,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.",https://image.tmdb.org/t/p/w500//k82T5L1utX1G2LhNWeza9nGUKPk.jpg,5.9,"Romance, Drama"
218,The Terminator,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",https://image.tmdb.org/t/p/w500//hzXSE66v6KthZ8nPoLZmsi2G05j.jpg,7.664,"Action, Thriller, Science Fiction"
1201176,Easter Bloody Easter,A woman must protect her small town from the Jackalope (based on the mythical rabbit-antelope creature of North American folklore) and his army of devilish bunnies as they embark on a murder spree over the Easter weekend.,https://image.tmdb.org/t/p/w500//8tGYZlPttiOjEe61GvszRcrnpEi.jpg,4.5,"Horror, Comedy, Fantasy"
348,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",https://image.tmdb.org/t/p/w500//vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,8.163,"Horror, Science Fiction"
1232546,Until Dawn,"One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one…only to wake up and find themselves back at the beginning of the same evening.",https://image.tmdb.org/t/p/w500//6O9nkcmZBymDXtxOGJmulqcxJdv.jpg,6.3,"Horror, Mystery"
297762,Wonder Woman,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,https://image.tmdb.org/t/p/w500//v4ncgZjG2Zu8ZW5al1vIZTsSjqX.jpg,7.216,"Action, Adventure, Fantasy"
1229730,Carjackers,"By day, they're invisible—valets, hostesses, and bartenders at a luxury hotel. By night, they're the Carjackers, a crew of skilled drivers who track and rob wealthy clients on the road. As they plan their ultimate heist, the hotel director hires a ruthless hitman, to stop them at all costs. With danger closing in, can Nora, Zoe, Steve, and Prestance pull off their biggest score yet?",https://image.tmdb.org/t/p/w500//wbkPMTz2vVai7Ujyp0ag7AM9SrO.jpg,6.119,"Action, Adventure"
1126166,Flight Risk,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",https://image.tmdb.org/t/p/w500//q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg,6.12,"Action, Thriller"
374720,Dunkirk,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",https://image.tmdb.org/t/p/w500//b4Oe15CGLL61Ped0RAS9JpqdmCt.jpg,7.45,"War, Action, Drama"
1371202,iHostage,"When a gunman enters an Apple Store in the heart of Amsterdam, the police face a delicate challenge to resolve the standoff.",https://image.tmdb.org/t/p/w500//tn3Ckxyc7OWXnhMPkiIBvqLdFC6.jpg,6.102,"Thriller, Crime, Drama"
1096838,Here After,"When her teen daughter displays increasingly disturbing behavior after a near death experience, a mother becomes convinced the girl brought something evil back from the other side.",https://image.tmdb.org/t/p/w500//by3EEDIVTdhNJolYK2Msn1RHRFH.jpg,5.123,"Horror, Thriller"
950396,The Gorge,"Two highly-trained operatives are appointed to posts in guard towers on opposite sides of a vast and highly classified gorge, protecting the world from an undisclosed, mysterious evil that lurks within. They bond from a distance while trying to stay vigilant in defending against an unseen enemy. When the cataclysmic threat to humanity is revealed to them, they must work together in a test of both their physical and mental strength to keep the secret in the gorge before it’s too late.",https://image.tmdb.org/t/p/w500//7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg,7.732,"Romance, Science Fiction, Thriller"
320288,Dark Phoenix,"The X-Men face their most formidable and powerful foe when one of their own, Jean Grey, starts to spiral out of control. During a rescue mission in outer space, Jean is nearly killed when she's hit by a mysterious cosmic force. Once she returns home, this force not only makes her infinitely more powerful, but far more unstable. The X-Men must now band together to save her soul and battle aliens that want to use Grey's new abilities to rule the galaxy.",https://image.tmdb.org/t/p/w500//cCTJPelKGLhALq3r51A9uMonxKj.jpg,5.972,"Science Fiction, Action, Adventure"
1101401,Sugar Baby,"An enterprising Sugar Baby is offered $30,000 to move in with her Sugar Daddy for the week, but soon discovers the sinister secrets trapped within his home.",https://image.tmdb.org/t/p/w500//z7NyxmdJ1ypn3Y6BVizjGODuBdO.jpg,6.038,"Thriller, Comedy"
284054,Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",https://image.tmdb.org/t/p/w500//uxzzxijgPIY7slzFvMotPv8wjKA.jpg,7.373,"Action, Adventure, Science Fiction"
335988,Transformers: The Last Knight,"Humans and Transformers are at war. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth. Saving our world falls upon the shoulders of an unlikely alliance: Cade Yeager; Bumblebee; an English Lord; and an Oxford Professor.",https://image.tmdb.org/t/p/w500//s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg,6.1,"Action, Adventure, Science Fiction"
450465,Glass,"In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men.",https://image.tmdb.org/t/p/w500//svIDTNUoajS8dLEo7EosxvyAsgJ.jpg,6.663,"Thriller, Drama, Science Fiction"
299534,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",https://image.tmdb.org/t/p/w500//ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg,8.237,"Adventure, Science Fiction, Action"
447273,Snow White,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom in the process.",https://image.tmdb.org/t/p/w500//oLxWocqheC8XbXbxqJ3x422j9PW.jpg,4.543,"Family, Fantasy"
1312833,A Knight's War,"A fearless knight braves a deadly realm to save the Chosen One’s soul. Facing witches, demons, and brutal foes, he discovers her return could ignite chaos and doom humanity.",https://image.tmdb.org/t/p/w500//janjdSMrTRGtPrI1p9uOX66jv7x.jpg,5.3,"Horror, Action, Fantasy"
